slug,name,category,district,official_url,instagram_url,full_address,gmaps_url
the-sanctoo-spa-wellness-ubud,The Sanctoo Spa & Wellness,spa,ubud,https://detik.com,,"Jalan Ulun Suwi II, Singapadu, Sukawati, Gianyar, Bali","https://www.google.com/maps/search/?api=1&query=The%20Sanctoo%20Spa%20&%20Wellness,%20Ubud,%20Bali,%20Indonesia"
ubud-village-resort-spa-ubud,Ubud Village Resort & Spa,spa,ubud,https://theubudvillage.com,https://www.instagram.com/theubudvillage/,,"https://www.google.com/maps/search/?api=1&query=Ubud%20Village%20Resort%20&%20Spa,%20Ubud,%20Bali,%20Indonesia"
villa-sonia-ubud-ubud,Villa Sonia Ubud,spa,ubud,https://villasoniaubud.com,,"Jl. Nyuh Bojog, Banjar Nyuh Kuning, Ubud, Bali, Gianyar, Indonesia","https://www.google.com/maps/search/?api=1&query=Villa%20Sonia%20Ubud,%20Ubud,%20Bali,%20Indonesia"
dewas-landing-cafe,Dewas Landing Cafe,cafe,uluwatu-bukit,,https://www.instagram.com/dewaslanding.cafe/,,
humans-cafe,HUMANS CAFE,cafe,uluwatu-bukit,http://humansbali.com/,https://www.instagram.com/humans.bali/,,
made-s-bakery-cafe-playground,Made’s Bakery Cafe Playground,cafe,uluwatu-bukit,,https://www.instagram.com/mades_bakery_/,,
ula-cafe,Ula Cafe,cafe,uluwatu-bukit,http://ulabali.com/,https://www.instagram.com/ula_bali/,,
ulu-artisan-ungasan,ULU ARTISAN — Ungasan,cafe,uluwatu-bukit,,https://www.instagram.com/artisan.bali/,Uluwatu/Bukit,https://www.google.com/maps/search/?api=1&query=ULU%20ARTISAN%20%E2%80%94%20Ungasan%20Uluwatu/Bukit%20Bali
zando-fight-camp-uluwatu,Zando Fight Camp Uluwatu,fitness,uluwatu-bukit,,https://www.instagram.com/zando_fight_camp/,,https://www.google.com/maps/search/?api=1&query=Zando%20Fight%20Camp%20Uluwatu%20Ungasan%20Uluwatu%20Bali
pak-gula,PAK GULA,restaurant,uluwatu-bukit,,https://www.instagram.com/pak.g.bingin/,,
rotisserie-by-cashew-tree,Rotisserie by Cashew Tree,restaurant,uluwatu-bukit,,https://www.instagram.com/rotisserie.cashewtree/,,
samudra-ganesha-indian-restaurant-and-bar,Samudra Ganesha Indian Restaurant & Bar,restaurant,uluwatu-bukit,,,"Karma Kandara Bali, Jalan Villa Kandara Banjar Wijaya Kusuma, Ungasan, Uluwatu, Bali 80362",
snowcat-bali-ussr-cuisine,Snowcat Bali USSR Cuisine,restaurant,uluwatu-bukit,,https://www.instagram.com/snowcatbali/,,
warung-bu-jonny-uluwatu,Warung Bu Jonny (Cak Man),restaurant,uluwatu-bukit,,,,https://www.google.com/maps/search/?api=1&query=Warung%20Bu%20Jonny%20Cak%20Man%20Pecatu%20Uluwatu
warung-ubay-ungasan,Warung Ubay,restaurant,uluwatu-bukit,,https://www.instagram.com/warung_ubay/,,https://www.google.com/maps/search/?api=1&query=Warung%20Ubay%20Ungasan%20Uluwatu
watu-steakhouse-six-senses-uluwatu,Watu Steakhouse (Six Senses Uluwatu),restaurant,uluwatu-bukit,,,"Six Senses Uluwatu, Jalan Goa Lempeh, Pecatu, Uluwatu, Bali 80361",
shiki-spa-uluwatu-bukit,Shiki Spa,spa,uluwatu-bukit,https://shikispa.com,,"Indah Resort, Ruko Plaza, Jl. Sahadewa Jl. Raya Uluwatu Pecatu No.17, Kompleks, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361","https://www.google.com/maps/search/?api=1&query=Shiki%20Spa,%20Pecatu,%20Bali,%20Indonesia"
the-wellness-spa-uluwatu-bukit,The Wellness Spa,spa,uluwatu-bukit,https://secure-booker.com,,,"https://www.google.com/maps/search/?api=1&query=The%20Wellness%20Spa,%20Pandawa,%20Bali,%20Indonesia"
zahra-spa-uluwatu-uluwatu-bukit,Zahra Spa Uluwatu,spa,uluwatu-bukit,https://zahraspauluwatu.com,,,"https://www.google.com/maps/search/?api=1&query=Zahra%20Spa%20Uluwatu,%20Uluwatu,%20Bali,%20Indonesia"
bambu-pilates,Bambu Pilates,yoga,uluwatu-bukit,https://bambufitnessbali.com/,,,https://www.google.com/maps/search/?api=1&query=Bambu%20Pilates%20Bingin%20%2F%20Pecatu%20Uluwatu%20Bali
