source_record_id,original_name,original_domain,original_status,original_confidence,normalized_record_type,parent_source_record_id,risk_class,decision_rule,auto_decision_reason,created_at,generator,source_version
OB-INT-0077,"Find vegan / vegetarian spots outside Ubud (Canggu, Uluwatu, Seminyak)",Vegan and vegetarian,EVIDENCE_STRONG,82,CHILD_SCENARIO,OB-INT-0075,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0078,Find açaí / smoothie bowls in Bali,Healthy food,EVIDENCE_STRONG,82,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0079,Find gluten-free / celiac-safe restaurants,Dietary restrictions,EVIDENCE_STRONG,90,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0080,Find halal restaurants for Muslim travellers,Dietary restrictions,EVIDENCE_STRONG,88,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0081,Find wheelchair-accessible places in Bali (limited),Accessibility,EVIDENCE_STRONG,92,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0082,"Travel with elderly parents in Sanur (walkable, flat)",Accessibility,EVIDENCE_STRONG,90,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0083,Get around Bali without renting a scooter,Transport and no-scooter,EVIDENCE_STRONG,95,SUPPORTING_JOB,,OPERATIONAL,TYPE.SUPPORTING_JOB,matched TYPE.SUPPORTING_JOB; risk via RISK.OPERATIONAL,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0084,Understand where Grab/Gojek can and can't pick up (Ubud),Transport and no-scooter,EVIDENCE_STRONG,85,SUPPORTING_JOB,,OPERATIONAL,TYPE.SUPPORTING_JOB,matched TYPE.SUPPORTING_JOB; risk via RISK.OPERATIONAL,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0085,Hire a private driver for a full-day tour,Transport and no-scooter,EVIDENCE_STRONG,82,SUPPORTING_JOB,,OPERATIONAL,TYPE.SUPPORTING_JOB,matched TYPE.SUPPORTING_JOB; risk via RISK.OPERATIONAL,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0086,Bring a dog / find pet-friendly cafes,Pet-friendly,EVIDENCE_STRONG,78,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0087,Understand safety as a solo female / at ATMs,Safety,EVIDENCE_STRONG,92,HIGH_RISK_GUIDE,,SAFETY,TYPE.HIGH_RISK_GUIDE.safety,matched TYPE.HIGH_RISK_GUIDE.safety; risk via RISK.SAFETY,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0088,Withdraw cash safely (avoid ATM skimming),Safety,EVIDENCE_STRONG,92,HIGH_RISK_GUIDE,,SAFETY,TYPE.HIGH_RISK_GUIDE.safety,matched TYPE.HIGH_RISK_GUIDE.safety; risk via RISK.SAFETY,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0089,Find medical clinic / hospital in emergency,Safety,EVIDENCE_STRONG,88,HIGH_RISK_GUIDE,,MEDICAL,TYPE.HIGH_RISK_GUIDE.medical,matched TYPE.HIGH_RISK_GUIDE.medical; risk via RISK.MEDICAL,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0090,Book a restaurant tonight last-minute,Last-minute decisions,EVIDENCE_MODERATE,72,CANONICAL_USER_JOB,,OPERATIONAL,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.OPERATIONAL,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0091,Find something to do right now (no plan),Last-minute decisions,EVIDENCE_STRONG,82,CANONICAL_USER_JOB,,OPERATIONAL,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.OPERATIONAL,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0092,Choose which town to explore first upon landing,Near-airport / arrival,EVIDENCE_STRONG,84,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0093,Have rainy-hour backup activity within 15 min,Rain backup,EVIDENCE_STRONG,82,CHILD_SCENARIO,OB-INT-0034,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0094,Fit an activity into a 3-hour time window,Short time windows,EVIDENCE_STRONG,88,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0095,Plan an efficient 7-day first-time Bali itinerary,First-time visitors,EVIDENCE_STRONG,94,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0096,Find offbeat / non-touristy places as a returning visitor,Returning visitors,EVIDENCE_STRONG,88,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0097,Do something in Bali as a pregnant traveller,Wellness / special condition,EVIDENCE_STRONG,82,HIGH_RISK_GUIDE,,MEDICAL,TYPE.HIGH_RISK_GUIDE.medical,matched TYPE.HIGH_RISK_GUIDE.medical; risk via RISK.MEDICAL,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0098,Choose activity for kids on a rainy afternoon,Rainy day + families,EVIDENCE_STRONG,84,CHILD_SCENARIO,OB-INT-0034,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0099,Find a private / secluded villa dining set-up for anniversary,Proposals and anniversaries,EVIDENCE_STRONG,82,CHILD_SCENARIO,OB-INT-0045,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0100,Choose an area to stay in Bali based on lifestyle (Canggu vs Ubud vs Uluwatu vs Sanur vs Seminyak),First-time visitors,EVIDENCE_STRONG,94,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0101,Protect skin from intense tropical sun (15-minute burn),Health & Safety,EVIDENCE_STRONG,90,HIGH_RISK_GUIDE,,MEDICAL,TYPE.HIGH_RISK_GUIDE.medical,matched TYPE.HIGH_RISK_GUIDE.medical; risk via RISK.MEDICAL,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0102,Understand and avoid rip currents at Bali beaches,Health & Safety,EVIDENCE_STRONG,88,HIGH_RISK_GUIDE,,SAFETY,TYPE.HIGH_RISK_GUIDE.safety,matched TYPE.HIGH_RISK_GUIDE.safety; risk via RISK.SAFETY,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0103,Decide whether to rent a motorbike or use apps,Transport & Safety,EVIDENCE_STRONG,92,HIGH_RISK_GUIDE,,SAFETY,TYPE.HIGH_RISK_GUIDE.safety,matched TYPE.HIGH_RISK_GUIDE.safety; risk via RISK.SAFETY,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0104,Recover from motorbike accident injuries,Health & Safety,EVIDENCE_STRONG,82,HIGH_RISK_GUIDE,,MEDICAL,TYPE.HIGH_RISK_GUIDE.medical,matched TYPE.HIGH_RISK_GUIDE.medical; risk via RISK.MEDICAL,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0105,Prevent jewelry theft while on Gojek/Grab bike,Safety,EVIDENCE_STRONG,85,HIGH_RISK_GUIDE,,SAFETY,TYPE.HIGH_RISK_GUIDE.safety,matched TYPE.HIGH_RISK_GUIDE.safety; risk via RISK.SAFETY,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0106,Avoid bank card being blocked during travel,Finance & Logistics,EVIDENCE_STRONG,88,SUPPORTING_JOB,,OPERATIONAL,OVERRIDE,"override: pre-trip bank notification is trip logistics, not a safety guide (rule table had OVERRIDE)",2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0107,Prevent ATM card skimming at Bali ATMs,Finance & Safety,EVIDENCE_STRONG,90,HIGH_RISK_GUIDE,OB-INT-0088,SAFETY,TYPE.HIGH_RISK_GUIDE.safety,matched TYPE.HIGH_RISK_GUIDE.safety; risk via RISK.SAFETY,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0108,Handle monkey bite and get rabies treatment,Health & Safety,EVIDENCE_STRONG,92,HIGH_RISK_GUIDE,,MEDICAL,TYPE.HIGH_RISK_GUIDE.medical,matched TYPE.HIGH_RISK_GUIDE.medical; risk via RISK.MEDICAL,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0109,Understand Indonesia drug laws and penalties,Legal & Safety,EVIDENCE_STRONG,88,HIGH_RISK_GUIDE,,LEGAL_REGULATORY,TYPE.HIGH_RISK_GUIDE.legal,matched TYPE.HIGH_RISK_GUIDE.legal; risk via RISK.LEGAL,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0110,Identify fake taxi meters and scams,Transport & Safety,EVIDENCE_STRONG,85,HIGH_RISK_GUIDE,,SAFETY,TYPE.HIGH_RISK_GUIDE.safety,matched TYPE.HIGH_RISK_GUIDE.safety; risk via RISK.SAFETY,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0111,Recover from tropical hangover,Health & Wellness,EVIDENCE_STRONG,82,HIGH_RISK_GUIDE,,MEDICAL,TYPE.HIGH_RISK_GUIDE.medical,matched TYPE.HIGH_RISK_GUIDE.medical; risk via RISK.MEDICAL,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0112,Manage luggage across multiple locations,Logistics,EVIDENCE_STRONG,80,SUPPORTING_JOB,,OPERATIONAL,TYPE.SUPPORTING_JOB,matched TYPE.SUPPORTING_JOB; risk via RISK.OPERATIONAL,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0113,Find local laundry services (not hotel),Logistics & Budget,EVIDENCE_STRONG,84,SUPPORTING_JOB,,OPERATIONAL,TYPE.SUPPORTING_JOB,matched TYPE.SUPPORTING_JOB; risk via RISK.OPERATIONAL,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0114,Get Visa on Arrival (VoA) vs online eVisa,Logistics & Arrival,EVIDENCE_STRONG,86,HIGH_RISK_GUIDE,,LEGAL_REGULATORY,TYPE.HIGH_RISK_GUIDE.legal,matched TYPE.HIGH_RISK_GUIDE.legal; risk via RISK.LEGAL,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0115,Register phone with Indonesian customs,Logistics & Arrival,EVIDENCE_MODERATE,75,HIGH_RISK_GUIDE,,LEGAL_REGULATORY,TYPE.HIGH_RISK_GUIDE.legal,matched TYPE.HIGH_RISK_GUIDE.legal; risk via RISK.LEGAL,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0116,Avoid tap water and use bottled water safely,Health & Safety,EVIDENCE_STRONG,88,HIGH_RISK_GUIDE,,MEDICAL,TYPE.HIGH_RISK_GUIDE.medical,matched TYPE.HIGH_RISK_GUIDE.medical; risk via RISK.MEDICAL,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0117,Avoid raw vegetables and salads (food safety),Health & Safety,EVIDENCE_STRONG,82,HIGH_RISK_GUIDE,,MEDICAL,TYPE.HIGH_RISK_GUIDE.medical,matched TYPE.HIGH_RISK_GUIDE.medical; risk via RISK.MEDICAL,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0118,Bargain at local markets (not tourist prices),Shopping & Culture,EVIDENCE_STRONG,85,CANONICAL_USER_JOB,,OPERATIONAL,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.OPERATIONAL,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0119,Find correct prices for Bali souvenirs,Shopping & Budget,EVIDENCE_STRONG,84,CANONICAL_USER_JOB,,OPERATIONAL,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.OPERATIONAL,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0120,Buy sunscreen locally (expensive) vs bring from home,Shopping & Budget,EVIDENCE_STRONG,80,SUPPORTING_JOB,,OPERATIONAL,TYPE.SUPPORTING_JOB,matched TYPE.SUPPORTING_JOB; risk via RISK.OPERATIONAL,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0121,Plan loosely and go with the flow,Mindset & Planning,EVIDENCE_STRONG,78,EDITORIAL_TOPIC,,LOW,TYPE.EDITORIAL_TOPIC,matched TYPE.EDITORIAL_TOPIC; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0122,Manage first impression of Canggu (touristy),Expectations & Planning,EVIDENCE_MODERATE,76,EDITORIAL_TOPIC,,LOW,TYPE.EDITORIAL_TOPIC,matched TYPE.EDITORIAL_TOPIC; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0123,Use Bluebird taxi (safest option),Transport,EVIDENCE_STRONG,86,ENTITY_QUERY,,OPERATIONAL,TYPE.ENTITY_QUERY,matched TYPE.ENTITY_QUERY; risk via RISK.OPERATIONAL,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0124,Choose between Grab and Gojek apps,Transport,EVIDENCE_STRONG,88,CANONICAL_USER_JOB,,OPERATIONAL,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.OPERATIONAL,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0125,Hire private driver for full-day tours,Transport,EVIDENCE_STRONG,84,SUPPORTING_JOB,OB-INT-0085,OPERATIONAL,TYPE.SUPPORTING_JOB,matched TYPE.SUPPORTING_JOB; risk via RISK.OPERATIONAL,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0126,Understand Gojek bike safety (no helmet for passenger),Transport & Safety,EVIDENCE_STRONG,82,HIGH_RISK_GUIDE,,SAFETY,TYPE.HIGH_RISK_GUIDE.safety,matched TYPE.HIGH_RISK_GUIDE.safety; risk via RISK.SAFETY,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0127,Respect Balinese religious customs,Culture & Respect,EVIDENCE_STRONG,85,EDITORIAL_TOPIC,,LOW,TYPE.EDITORIAL_TOPIC,matched TYPE.EDITORIAL_TOPIC; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0128,"Say no politely to street vendors (""tidak mau"")",Culture & Social,EVIDENCE_STRONG,80,EDITORIAL_TOPIC,,LOW,TYPE.EDITORIAL_TOPIC,matched TYPE.EDITORIAL_TOPIC; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0129,Avoid close-up photos of people without permission,Culture & Respect,EVIDENCE_STRONG,82,EDITORIAL_TOPIC,,LOW,TYPE.EDITORIAL_TOPIC,matched TYPE.EDITORIAL_TOPIC; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0130,"Understand temple dress code (sarongs, cover-up)",Culture & Respect,EVIDENCE_STRONG,88,EDITORIAL_TOPIC,OB-INT-0065,LOW,TYPE.EDITORIAL_TOPIC,matched TYPE.EDITORIAL_TOPIC; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0131,Photograph during temple ceremonies respectfully,Culture & Photography,EVIDENCE_STRONG,80,EDITORIAL_TOPIC,,LOW,TYPE.EDITORIAL_TOPIC,matched TYPE.EDITORIAL_TOPIC; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0132,Find underrated photography spots (not Instagram),Photography & Experiences,EVIDENCE_STRONG,84,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0133,Photograph Trunyan Village,Photography & Experiences,EVIDENCE_MODERATE,76,ENTITY_QUERY,,LOW,TYPE.ENTITY_QUERY,matched TYPE.ENTITY_QUERY; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0134,Visit abandoned Taman Festival theme park,Photography & Experiences,EVIDENCE_MODERATE,74,ENTITY_QUERY,,LOW,TYPE.ENTITY_QUERY,matched TYPE.ENTITY_QUERY; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0135,Drive to Amed for fishing boat photography,Photography & Experiences,EVIDENCE_STRONG,82,ENTITY_QUERY,,LOW,TYPE.ENTITY_QUERY,matched TYPE.ENTITY_QUERY; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0136,Photograph Ayung River gorges,Photography & Experiences,EVIDENCE_STRONG,80,ENTITY_QUERY,,LOW,TYPE.ENTITY_QUERY,matched TYPE.ENTITY_QUERY; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0137,Visit Sideman for rice terraces (harvest season),Photography & Experiences,EVIDENCE_STRONG,84,ENTITY_QUERY,,LOW,TYPE.ENTITY_QUERY,matched TYPE.ENTITY_QUERY; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0138,Photograph Lempuyang Temple (Gate of Heaven) drive,Photography & Experiences,EVIDENCE_STRONG,82,ENTITY_QUERY,,LOW,TYPE.ENTITY_QUERY,matched TYPE.ENTITY_QUERY; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0139,Photograph Melasti Beach,Photography & Experiences,EVIDENCE_MODERATE,78,ENTITY_QUERY,,LOW,TYPE.ENTITY_QUERY,matched TYPE.ENTITY_QUERY; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0140,Photograph moon above airport runway (4-5 AM),Photography & Experiences,EVIDENCE_MODERATE,72,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0141,Visit Botanical Gardens near Bedugal,Nature & Photography,EVIDENCE_MODERATE,76,ENTITY_QUERY,,LOW,TYPE.ENTITY_QUERY,matched TYPE.ENTITY_QUERY; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0142,Photograph Dutch colonial buildings in Denpasar,Photography & History,EVIDENCE_MODERATE,74,ENTITY_QUERY,,LOW,TYPE.ENTITY_QUERY,matched TYPE.ENTITY_QUERY; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0143,Shop at Pasar Badung night market (local prices),Shopping & Culture,EVIDENCE_STRONG,84,ENTITY_QUERY,,OPERATIONAL,TYPE.ENTITY_QUERY,matched TYPE.ENTITY_QUERY; risk via RISK.OPERATIONAL,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0144,Find night market for crafts (not food),Shopping,EVIDENCE_MODERATE,78,CANONICAL_USER_JOB,,LOW,OVERRIDE,"override: generic craft night-market job, no specific entity named (rule table had OVERRIDE)",2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0145,Shop at Artedesana in Sanur for local crafts,Shopping,EVIDENCE_MODERATE,76,ENTITY_QUERY,,LOW,TYPE.ENTITY_QUERY,matched TYPE.ENTITY_QUERY; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0146,Find craft shops in Ubud (wholesale prices),Shopping & Budget,EVIDENCE_STRONG,82,CANONICAL_USER_JOB,,OPERATIONAL,OVERRIDE,"override: generic Ubud craft-shop job, no specific entity named (rule table had OVERRIDE)",2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0147,Visit Kuta Art Market,Shopping,EVIDENCE_MODERATE,75,ENTITY_QUERY,,LOW,TYPE.ENTITY_QUERY,matched TYPE.ENTITY_QUERY; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0148,Shop at Monkey Forest Road for antiques,Shopping & Culture,EVIDENCE_MODERATE,76,ENTITY_QUERY,,LOW,TYPE.ENTITY_QUERY,matched TYPE.ENTITY_QUERY; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0149,Shop at Celuk Village for gold/silver jewelry,Shopping & Culture,EVIDENCE_MODERATE,78,ENTITY_QUERY,,LOW,TYPE.ENTITY_QUERY,matched TYPE.ENTITY_QUERY; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0150,Attend authentic Barong ceremony (non-touristy),Culture & Experiences,EVIDENCE_STRONG,86,EDITORIAL_TOPIC,,LOW,TYPE.EDITORIAL_TOPIC,matched TYPE.EDITORIAL_TOPIC; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0151,Witness temple ceremonies during Odalan,Culture & Experiences,EVIDENCE_STRONG,84,EDITORIAL_TOPIC,,LOW,TYPE.EDITORIAL_TOPIC,matched TYPE.EDITORIAL_TOPIC; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0152,Attend Purnama (full moon ceremony),Culture & Experiences,EVIDENCE_STRONG,82,EDITORIAL_TOPIC,,LOW,TYPE.EDITORIAL_TOPIC,matched TYPE.EDITORIAL_TOPIC; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0153,Participate in water temple cleansing ritual,Culture & Wellness,EVIDENCE_STRONG,80,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
